t, r, f, g
1.6914,0.99991,8.7074e-05,0.33255
1.7092,0.99993,6.8229e-05,0.33244
1.7269,0.99995,5.3481e-05,0.33232
1.7476,0.99996,4.001e-05,0.33218
1.7684,0.99997,3.0103e-05,0.33204
1.7891,0.99998,2.3067e-05,0.3319
1.8098,0.99998,1.7685e-05,0.33177
1.8442,0.99999,1.006e-05,0.33154
1.8786,0.99999,6.1218e-06,0.33131
1.9129,0.99999,5.9501e-06,0.33108
1.9473,0.99999,5.6284e-06,0.33086
1.982,1,3.1758e-06,0.33063
2.0167,1,1.912e-06,0.3304
2.0513,1,1.8534e-06,0.33017
2.086,1,1.7525e-06,0.32994
2.13,1,8.3934e-07,0.32965
2.1741,1,3.8508e-07,0.32937
2.2181,1,3.3315e-07,0.32908
2.2621,1,3.1717e-07,0.32879
2.3362,1,4.6733e-08,0.3283
2.4103,1,-9.53e-08,0.32782
2.4845,1,-1.317e-07,0.32733
2.5586,1,-1.2379e-07,0.32685
2.7796,1,-1.2379e-07,0.32541
3.0007,1,-1.2379e-07,0.32398
3.2218,1,-1.2379e-07,0.32256
3.4429,1,-1.2379e-07,0.32114
4.5483,1,-1.2379e-07,0.31414
5.6538,1,-1.2379e-07,0.30729
6.7592,1,-1.2379e-07,0.30059
7.8646,1,-1.2379e-07,0.29404
10.365,1,-1.2379e-07,0.27974
12.865,1,-1.2379e-07,0.26613
15.365,1,-1.2379e-07,0.25318
17.865,1,-1.2379e-07,0.24087
20.365,1,-1.2379e-07,0.22915
22.865,1,-1.2379e-07,0.21799
25.365,1,-1.2379e-07,0.20738
27.865,1,-1.2379e-07,0.19729
30.365,1,-1.2379e-07,0.18769
32.865,1,-1.2379e-07,0.17855
35.365,1,-1.2379e-07,0.16986
37.865,1,-1.2379e-07,0.16159
40.365,1,-1.2379e-07,0.15372
42.865,1,-1.2379e-07,0.14623
45.365,1,-1.2379e-07,0.13911
47.865,1,-1.2379e-07,0.13233
50.365,1,-1.2379e-07,0.12589
52.865,1,-1.2379e-07,0.11976
55.365,1,-1.2379e-07,0.11392
57.865,1,-1.2379e-07,0.10837
60.365,1,-1.2379e-07,0.10309
62.865,1,-1.2379e-07,0.098069
65.365,1,-1.2379e-07,0.09329
67.865,1,-1.2379e-07,0.088745
70.365,1,-1.2379e-07,0.08442
72.865,1,-1.2379e-07,0.080306
75.365,1,-1.2379e-07,0.076393
77.865,1,-1.2379e-07,0.07267
80.365,1,-1.2379e-07,0.069128
82.865,1,-1.2379e-07,0.065759
85.365,1,-1.2379e-07,0.062554
87.865,1,-1.2379e-07,0.059505
90.365,1,-1.2379e-07,0.056604
92.865,1,-1.2379e-07,0.053845
95.365,1,-1.2379e-07,0.05122
97.865,1,-1.2379e-07,0.048724
98.398,1,-1.2379e-07,0.048206
98.932,1,-1.2379e-07,0.047695
99.466,1,-1.2379e-07,0.047188
100,1,-1.2379e-07,0.046687
