t,r,f,g 
0.34722,0.99986,0.0001407,0.23711
0.35291,0.99989,0.00011196,0.23659
0.35861,0.99991,8.9069e-05,0.23607
0.36516,0.99993,6.8393e-05,0.23547
0.37172,0.99995,5.2409e-05,0.23488
0.37828,0.99996,3.9897e-05,0.23429
0.38484,0.99997,3.0315e-05,0.2337
0.40301,0.99999,1.2197e-05,0.23208
0.42119,1,3.157e-06,0.23047
0.43936,1,1.2677e-06,0.22887
0.45754,1,1.5032e-06,0.22729
0.47761,1,4.9475e-07,0.22555
0.49769,1,-1.2237e-08,0.22382
0.51777,1,-1.3861e-07,0.22211
0.53785,1,-1.1225e-07,0.22041
0.58492,1,-1.1225e-07,0.21647
0.632,1,-1.1225e-07,0.21259
0.67907,1,-1.1225e-07,0.20879
0.72615,1,-1.1225e-07,0.20504
0.77615,1,-1.1225e-07,0.20114
0.82615,1,-1.1225e-07,0.19731
0.87615,1,-1.1225e-07,0.19355
0.92615,1,-1.1225e-07,0.18986
0.97615,1,-1.1225e-07,0.18623
1.0261,1,-1.1225e-07,0.18267
1.0761,1,-1.1225e-07,0.17918
1.1261,1,-1.1225e-07,0.17575
1.1761,1,-1.1225e-07,0.17239
1.2261,1,-1.1225e-07,0.16909
1.2761,1,-1.1225e-07,0.16585
1.3261,1,-1.1225e-07,0.16267
1.3761,1,-1.1225e-07,0.15955
1.4261,1,-1.1225e-07,0.15648
1.4761,1,-1.1225e-07,0.15348
1.5261,1,-1.1225e-07,0.15053
1.5761,1,-1.1225e-07,0.14763
1.6261,1,-1.1225e-07,0.14479
1.6761,1,-1.1225e-07,0.142
1.7261,1,-1.1225e-07,0.13927
1.7761,1,-1.1225e-07,0.13658
1.8261,1,-1.1225e-07,0.13395
1.8761,1,-1.1225e-07,0.13136
1.9261,1,-1.1225e-07,0.12883
1.9446,1,-1.1225e-07,0.1279
1.9631,1,-1.1225e-07,0.12698
1.9815,1,-1.1225e-07,0.12607
2,1,-1.1225e-07,0.12517
